Asset Class,Issuer Name,CUSIP,Ticker,Ask Price,Cpn,Maturity,Conversion Ratio,CV Conversion Price,CV Stock Volatility
Corporates,Lantheus Holdings Inc,516544AB9,LNTH,112.246,2.625,15/12/2027,12.5291,79.81419256,48.92821859
Corporates,Merit Medical Systems Inc,589889AA2,MMSI,111.881,3.0,01/02/2029,11.5171,86.82741315,26.72104717
Corporates,Nikola Corp,654110AG0,NKLA,129.722,8.25,15/12/2026,1111.1111,0.900000009,139.588676
Corporates,Alteryx Inc,02156BAF0,AYX,97.557,1.0,01/08/2026,5.2809,189.3616618,21.18955543
Corporates,Marriott Vacations Worldwide Corp,57164YAF4,VAC,89.25,3.25,15/12/2027,5.2729,189.6489598,31.49452624
Corporates,Wolfspeed Inc,977852AD4,WOLF,68.75,1.875,01/12/2029,8.4118,118.8806201,64.32381003
Corporates,DISH Network Corp,25470MAF6,DISH,62.515,0.0,15/12/2025,24.4123,40.9629572,107.2327371
Corporates,Lucid Group Inc,549498AA1,LCID,52.75,1.25,15/12/2026,18.2548,54.78011263,118.3722313
Corporates,Sphere Entertainment Co,55826TAA0,SPHR,115.892,3.5,01/12/2028,28.1591,35.51249862,60.60220832
Corporates,JetBlue Airways Corp,477143AP6,JBLU,71.5,0.5,01/04/2026,38.5802,25.92003152,82.43629628
Corporates,Axon Enterprise Inc,05464CAB7,AXON,127.157,0.5,15/12/2027,4.372,228.7282708,37.88992261
Corporates,Repligen Corp,759916AC3,RGEN,114.938,1.0,15/12/2028,4.9247,203.0580543,42.73247414
Corporates,DISH Network Corp,25470MAB5,DISH,54.0,3.375,15/08/2026,15.3429,65.17672669,112.6152331
Corporates,DISH Network Corp,25470MAD1,DISH,98.855,2.375,15/03/2024,12.163,82.21655841,115.2249655
Corporates,Evolent Health Inc,30050BAG6,EVH,117.98,3.5,01/12/2029,26.3125,38.00475059,35.24631821
Corporates,Affirm Holdings Inc,00827BAB2,AFRM,82.725,0.0,15/11/2026,4.6371,215.6520239,93.1384534
Corporates,Evergy Inc,30034WAC0,EVRG,102.904,4.5,15/12/2027,16.1809,61.80125951,19.62439932
Corporates,Sunnova Energy International Inc,86745KAH7,NOVA,67.795,2.625,15/02/2028,29.2039,34.24200192,83.47196766
Corporates,Cerevel Therapeutics Holdings Inc,15678UAA0,CERE,112.008,2.5,15/08/2027,21.5633,46.37509101,38.75922673
Corporates,Stillwater Mining Co,ZG3019988,SGLSJ,121.644,4.25,28/11/2028,149622.2039,24.79578501,58.91933713
Corporates,PG&E Corp,69331CAK4,PCG,104.946,4.25,01/12/2027,43.1416,23.17948338,23.63722025
Corporates,Blackstone Mortgage Trust Inc,09257WAE0,BXMT,90.945,5.5,15/03/2027,27.5702,36.27104627,27.58512507
Corporates,United States Steel Corp,912909AT5,X,365.701,5.0,01/11/2026,74.8391,13.36199928,70.17422791
Corporates,LendingTree Inc,52603BAD9,TREE,82.75,0.5,15/07/2025,2.1683,461.1907946,88.01554406
Corporates,Realogy Group LLC / Realogy Co-Issuer Corp,75606DAP6,HOUS,79.961,0.25,15/06/2026,40.8397,24.4859781,61.06155255
Corporates,Sunrun Inc,86771WAB1,RUN,77.739,0.0,01/02/2026,8.4807,117.9147948,92.85934406
Corporates,Spirit Airlines Inc,848577AB8,SAVE,70.279,1.0,15/05/2026,24.6649,40.54344433,45.94812975
Corporates,Coinbase Global Inc,19260QAB3,COIN,91.95,0.5,01/06/2026,2.6994,370.4526932,77.42896739
Corporates,Uber Technologies Inc,90353TAL4,UBER,110.421,0.875,01/12/2028,13.7848,72.54367129,38.49255129
Corporates,Airbnb Inc,009066AB7,ABNB,90.205,0.0,15/03/2026,3.4645,288.6419397,36.51774337
Corporates,DocuSign Inc,256163AD8,DOCU,99.777,0.0,15/01/2024,2.3796,420.2386956,51.12380254
Corporates,Rivian Automotive Inc,76954AAA1,RIVN,140.945,4.625,15/03/2029,49.6771,20.12999954,70.22159835
Corporates,Alteryx Inc,02156BAD5,AYX,97.396,0.5,01/08/2024,5.2809,189.3616618,21.18955543
Corporates,Sunnova Energy International Inc,86745KAF1,NOVA,69.458,0.25,01/12/2026,28.9184,34.58005975,83.40911807
Corporates,Rivian Automotive Inc,76954AAC7,RIVN,123.6,3.625,15/10/2030,42.929,23.2942766,69.49481491
Corporates,Spotify USA Inc,84921RAB6,SPOT,88.581,0.0,15/03/2026,1.941,515.1983514,41.77768135
Corporates,Beauty Health Co/The,88331LAA6,SKIN,75.186,1.25,01/10/2026,31.4859,31.76024824,102.8890572
Corporates,Upstart Holdings Inc,91680MAB3,UPST,74.491,0.25,15/08/2026,3.5056,285.2578731,105.4704096
Corporates,Cytokinetics Inc,23282WAC4,CYTK,176.166,3.5,01/07/2027,19.5783,51.07695765,38.8196422
Corporates,Peloton Interactive Inc,70614WAB6,PTON,77.755,0.0,15/02/2026,4.18,239.2344498,71.10400069
Corporates,Lyft Inc,55087PAB0,LYFT,95.35,1.5,15/05/2025,26.0491,38.38904223,61.01273894
Corporates,Luminar Technologies Inc,550424AA3,LAZR,47.625,1.25,15/12/2026,50.0475,19.98101803,111.8237646
Corporates,Palo Alto Networks Inc,697435AF2,PANW,296.53,0.375,01/06/2025,10.0806,99.20044442,54.99535525
Corporates,Ford Motor Co,345370CZ1,F,100.286,0.0,15/03/2026,65.5824,15.24799336,32.18071268
Corporates,Western Digital Corp,958102AS4,WDC,123.584,3.0,15/11/2028,19.1589,52.19506339,37.10567492
Corporates,Pebblebrook Hotel Trust,70509VAA8,PEB,90.597,1.75,15/12/2026,39.2549,25.47452675,41.1622176
Corporates,Western Digital Corp,958102AP0,WDC,99.641,1.5,01/02/2024,8.2026,121.9125643,35.19228619
Corporates,Zscaler Inc,98980GAB8,ZS,153.566,0.125,01/07/2025,6.6315,150.795446,47.99305982
Corporates,PureCycle Technologies Inc,74623VAA1,PCT,40.24,7.25,15/08/2030,67.4764,14.81999632,129.9178205
Corporates,Beyond Meat Inc,08862EAB5,BYND,19.723,0.0,15/03/2027,4.8544,205.9986816,155.2767258
Corporates,Repligen Corp,759916AB5,RGEN,159.538,0.375,15/07/2024,8.6749,115.275104,46.02548126
Corporates,SoFi Technologies Inc,83406FAA0,SOFI,85.758,0.0,15/10/2026,44.615,22.41398633,65.37976581
Corporates,MicroStrategy Inc,594972AC5,MSTR,172.919,0.75,15/12/2025,2.5126,397.9941097,77.96144487
Corporates,Splunk Inc,848637AF1,SPLK,97.025,1.125,15/06/2027,3.9164,255.3365336,6.806673292
Corporates,Veradigm Inc,01988PAF5,MDRX,101.333,0.875,01/01/2027,75.0962,13.31625302,74.62219189
Corporates,Expedia Group Inc,30212PBE4,EXPE,95.212,0.0,15/02/2026,3.9212,255.0239723,35.14122687
Corporates,Marathon Digital Holdings Inc,565788AB2,MARA,86.991,1.0,01/12/2026,13.1277,76.17480594,126.9790236
Corporates,Array Technologies Inc,04271TAB6,ARRY,98.554,1.0,01/12/2028,41.9054,23.86327299,58.59712712
Corporates,Uber Technologies Inc,90353TAJ9,UBER,102.976,0.0,15/12/2025,12.3701,80.84009022,37.57624467
Corporates,Southwest Airlines Co,844741BG2,LUV,101.579,1.25,01/05/2025,26.4038,37.87333641,33.79936818
Corporates,Envestnet Inc,29404KAG1,ENV,98.814,2.625,01/12/2027,13.6304304,73.36525485,41.99776986
Corporates,Wayfair Inc,94419LAP6,W,126.156,3.25,15/09/2027,15.7597,63.45298451,71.16244762
Corporates,Liberty Media Corp,531229AJ1,LMCA,95.259,2.75,01/12/2049,116.0227,8.358510016,43.87525934
Corporates,Zillow Group Inc,98954MAG6,Z,137.781,1.375,01/09/2026,22.983,43.51042075,47.26999653
Corporates,Evolent Health Inc,30050BAD3,EVH,114.792,1.5,15/10/2025,29.9135,33.42972237,37.26778122
Corporates,Ares Capital Corp,04010LAW3,ARCC,103.685,4.625,01/03/2024,51.4589,19.43298438,16.18445142
Corporates,Etsy Inc,29786AAJ5,ETSY,116.097,0.125,01/10/2026,11.404,87.68853034,49.4128763
Corporates,Tesla Inc,88160RAG6,TSLA,1224.168,2.0,15/05/2024,48.414,20.65518239,93.3164058
Corporates,Shift4 Payments Inc,82452JAB5,FOUR,111.804,0.0,15/12/2025,12.4262,80.47512514,37.68748164
Corporates,ON Semiconductor Corp,682189AT2,ON,106.236,0.5,01/03/2029,9.6277,103.8669672,41.91733547
Corporates,RingCentral Inc,76680RAF4,RNG,93.0,0.0,01/03/2025,2.7745,360.4253019,35.2031381
Corporates,Sasol Financing USA LLC,ZN1006685,SASOL,90.908,4.5,08/11/2027,10494.22555,347.5149245,34.82375627
Corporates,Liberty Media Corp,531229AN2,LMCA,119.599,3.75,15/03/2028,35.4563,28.20373248,48.48161342
Preferreds,NextEra Energy Inc,65339F713,NEE,38.38,6.926,01/09/2025,0.45,111.1111111,26.58077555
Corporates,RingCentral Inc,76680RAH0,RNG,87.125,0.0,15/03/2026,2.3583,424.034262,35.86002185
Corporates,MongoDB Inc,60937PAD8,MDB,203.768,0.25,15/01/2026,4.7349,211.1977022,57.93553169
Corporates,Liberty TripAdvisor Holdings Inc,531465AA0,LTRPA,87.915,0.5,30/06/2051,14.3299,69.7841576,37.02227815
Corporates,DigitalOcean Holdings Inc,25402DAB8,DOCN,83.0,0.0,01/12/2026,5.6018,178.5140491,59.04218855
Preferreds,Paramount Global,92556H305,PARA,18.83,5.75,01/04/2024,1.0013,99.87016878,34.72568678
Corporates,Plug Power Inc,72919PAD5,PLUG,108.175,3.75,01/06/2025,198.6196,5.034749843,98.63934999
Corporates,Enphase Energy Inc,29355AAK3,ENPH,90.0,0.0,01/03/2028,3.5104,284.8678213,59.31580581
Corporates,Arbor Realty Trust Inc,038923BA5,ABR,103.742,7.5,01/08/2025,60.3915,16.55862166,38.39462166
Corporates,Dexcom Inc,252131AK3,DXCM,104.797,0.25,15/11/2025,6.662,150.1050736,39.68731626
Corporates,American Airlines Group Inc,02376RAF9,AAL,111.745,6.5,01/07/2025,61.7284,16.1999987,39.07854478
Corporates,Wayfair Inc,94419LAQ4,W,160.505,3.5,15/11/2028,21.8341,45.79991848,75.20025587
Corporates,Shift4 Payments Inc,82452JAD1,FOUR,94.292,0.5,01/08/2027,8.1524,122.6632648,31.76563686
Corporates,Marriott Vacations Worldwide Corp,57164YAD9,VAC,88.509,0.0,15/01/2026,6.1044,163.8162637,34.73331911
Corporates,TPI Composites Inc,87266JAA2,TPIC,54.009,5.25,15/03/2028,66.5425,15.02798963,103.0854329
Corporates,Guardant Health Inc,40131MAB5,GH,70.375,0.0,15/11/2027,7.1523,139.8151644,62.92679082
Corporates,Helix Energy Solutions Group Inc,42330PAK3,HLX,162.172,6.75,15/02/2026,143.3795,6.974497749,52.25820332
Corporates,Snap Inc,83304AAB2,SNAP,106.55,0.75,01/08/2026,43.8481,22.80600528,56.57701801
Corporates,BlackLine Inc,09239BAD1,BL,89.044,0.0,15/03/2026,6.0156,166.2344571,40.72380343
Corporates,Multiplan Corp,17144CAB0,MPLN,69.634,6.0,15/10/2027,76.9231,12.9999961,78.47295201
Corporates,SolarEdge Technologies Inc,83417MAD6,SEDG,91.333,0.0,15/09/2025,3.5997,277.8009279,68.89644097
Corporates,Block Inc,852234AF0,SQ,98.384,0.125,01/03/2025,8.2641,121.0053121,46.44326261
Corporates,3D Systems Corp,88554DAD8,DDD,76.236,0.0,15/11/2026,27.8364,35.9241856,61.72980602
Corporates,Splunk Inc,848637AD6,SPLK,110.295,1.125,15/09/2025,6.7433,148.295345,5.820499117
Corporates,New Mountain Finance Corp,647551AE0,NMFC,103.205,7.5,15/10/2025,70.5365,14.17705727,16.42415854
Corporates,Euronet Worldwide Inc,298736AL3,EEFT,94.287,0.75,15/03/2049,5.2987,188.7255365,31.259566
Corporates,BILL Holdings Inc,090043AB6,BILL,94.345,0.0,01/12/2025,6.2159,160.877749,53.08616885
Corporates,Tandem Diabetes Care Inc,875372AB0,TNDM,95.228,1.5,01/05/2025,8.8836,112.5669774,60.03942127
Corporates,NuVasive Inc,670704AJ4,GMED,93.502,0.375,15/03/2025,8.0399,124.3796565,33.46643156
Corporates,Booking Holdings Inc,09857LAN8,BKNG,190.15,0.75,01/05/2025,0.5301,1886.436521,38.85596201
Corporates,Opendoor Technologies Inc,683712AA1,OPEN,77.528,0.25,15/08/2026,51.9926,19.23350631,92.31063926
Corporates,2U Inc,90214JAB7,TWOU,51.344,2.25,01/05/2025,35.3773,28.2667134,137.6688657
Corporates,Unity Software Inc,91332UAB7,U,83.35,0.0,15/11/2026,3.2392,308.718202,53.38439298
Corporates,Bread Financial Holdings Inc,018581AM0,BFH,107.986,4.25,15/06/2028,26.0247,38.42503468,45.04093569
Corporates,Fisker Inc,33813JAA4,FSR,18.399,2.5,15/09/2026,50.7743,19.69500318,168.8475972
Corporates,fuboTV Inc,35953DAB0,FUBO,73.391,3.25,15/02/2026,17.3063,57.78242605,113.8914997
Corporates,JPMorgan Chase Bank NA,BO0411732,JPM,111.715,0.0,18/02/2024,657.7305,152.0379548,26.84162748
Corporates,EQT Corp,26884LAK5,EQT,268.581,1.75,01/05/2026,68.8912,14.51564206,53.31402096
Corporates,Zillow Group Inc,98954MAE1,Z,137.553,0.75,01/09/2024,22.983,43.51042075,47.26999653
Corporates,Zillow Group Inc,98954MAH4,Z,111.445,2.75,15/05/2025,14.881,67.19978496,42.55499212
Corporates,Air Transport Services Group Inc,00922RAC9,ATSG,89.428,3.875,15/08/2029,31.2864,31.96276977,39.12239237
Corporates,Datadog Inc,23804LAB9,DDOG,142.364,0.125,15/06/2025,10.8338,92.30371615,48.13862078
Corporates,Akamai Technologies Inc,00971TAJ0,AKAM,127.891,0.125,01/05/2025,10.515,95.1022349,27.14543709
Corporates,Guidewire Software Inc,40171VAA8,GWRE,111.266,1.25,15/03/2025,8.7912,113.7501138,31.43067957
Corporates,Spirit AeroSystems Inc,85205TAP5,SPR,130.169,3.25,01/11/2028,34.3053,29.15001472,51.59516391
Corporates,Nutanix Inc,67059NAH1,NTNX,104.205,0.25,01/10/2027,17.3192,57.7393875,34.08061229
Corporates,DraftKings Holdings Inc,26142RAB0,DKNG,81.433,0.0,15/03/2028,10.543,94.84966328,42.31988565
Corporates,Enovis Corp,194014AA4,ENOV,120.678,3.875,15/10/2028,17.1474,58.3178791,28.52067427
Corporates,Shockwave Medical Inc,82489TAA2,SWAV,97.337,1.0,15/08/2028,3.4595,289.0591126,39.24459002
Corporates,Semtech Corp,816850AF8,SMTC,86.602,1.625,01/11/2027,26.8325,37.26823814,56.35994872
Corporates,Redwood Trust Inc,758075AF2,RWT,93.267,7.75,15/06/2027,95.6823,10.45125378,25.27687285
Corporates,Redfin Corp,75737FAE8,RDFN,64.825,0.5,01/04/2027,10.692,93.52787131,96.53629514
Corporates,Haemonetics Corp,405024AB6,HAE,88.916,0.0,01/03/2026,5.7033,175.3370855,41.02058111
Corporates,Dexcom Inc,252131AL1,DXCM,102.502,0.375,15/05/2028,6.1571,162.4141235,38.98213404
Corporates,Wayfair Inc,94419LAF8,W,88.972,1.0,15/08/2026,6.7349,148.4803041,69.63751393
Corporates,Two Harbors Investment Corp,90187BAB7,TWO,93.796,6.25,15/01/2026,33.87525,29.52007734,25.2930247
Corporates,Chart Industries Inc,16115QAE0,GTLS,238.186,1.0,15/11/2024,17.0285,58.72507854,66.17299219
Corporates,Etsy Inc,29786AAL0,ETSY,85.684,0.125,01/09/2027,5.0007,199.9720039,45.21523561
Corporates,Wolfspeed Inc,225447AD3,WOLF,116.727,1.75,01/05/2026,21.13459969,47.31577673,72.45979582
Corporates,ON Semiconductor Corp,682189AS4,ON,165.78,0.0,01/05/2027,18.8796,52.96722388,47.71445255
Corporates,Liberty Interactive LLC,530715AG6,LINTA,26.051,4.0,15/11/2029,1.0,906.243033,18.92717
Corporates,Sabre GLBL Inc,78573NAE2,SABHLD,99.264,4.0,15/04/2025,126.9499,7.87712318,75.90235891
Corporates,Duke Energy Corp,26441CBX2,DUK,100.25,4.125,15/04/2026,8.4131,118.8622505,17.62804105
Corporates,Bridgebio Pharma Inc,10806XAB8,BBIO,126.5,2.5,15/03/2027,23.4151,42.70748363,55.73612482
Corporates,MicroStrategy Inc,594972AE1,MSTR,88.377,0.0,15/02/2027,0.6981,1432.459533,79.25543322
Corporates,Fastly Inc,31188VAB6,FSLY,87.209,0.0,15/03/2026,9.7272,102.8045069,48.48373311
Corporates,Cutera Inc,232109AG3,CUTR,23.309,4.0,01/06/2029,17.1378,58.35054674,141.9629613
Corporates,Parsons Corp,70202LAB8,PSN,143.68,0.25,15/08/2025,22.2913,44.86055098,34.63254461
Corporates,Western Asset Mortgage Capital Corp,95790DAD7,WMC,98.544,6.75,15/09/2024,33.7952,29.59000095,31.84197288
Corporates,Snap Inc,83304AAF3,SNAP,80.601,0.0,01/05/2027,11.2042,89.25224469,51.11497427
Corporates,Pioneer Natural Resources Co,723787AP2,PXD,244.055,0.25,15/05/2025,10.7379,93.12807905,44.80867817
Corporates,ChargePoint Holdings Inc,15961RAA3,CHPT,111.319,7.0,01/04/2028,83.3333,12.0000048,95.0235121
Corporates,Bloom Energy Corp,093712AJ6,BE,108.013,3.0,01/06/2028,53.0427,18.85273563,63.56529449
Corporates,Nabors Industries Inc,62957HAK1,NBR,74.449,1.75,15/06/2029,4.7056,212.5127508,56.34807396
Corporates,Cloudflare Inc,18915MAC1,NET,90.811,0.0,15/08/2026,5.2263,191.3399537,48.05491708
Corporates,HAT Holdings I LLC / HAT Holdings II LLC,418751AJ2,HASI,118.467,3.75,15/08/2028,36.8494,27.13748392,49.64112603
Corporates,Coherus Biosciences Inc,19249HAB9,CHRS,56.451,1.5,15/04/2026,51.9224,19.25951035,111.6019254
Corporates,Integra LifeSciences Holdings Corp,457985AM1,IART,94.252,0.5,15/08/2025,13.5739,73.67079469,37.64575755
Corporates,Ventas Realty LP,92277GAY3,VTR,106.164,3.75,01/06/2026,18.246,54.80653294,24.26576729
Corporates,LCI Industries,501812AB7,LCII,99.415,1.125,15/05/2026,6.1615,162.2981417,33.72739059
Corporates,MP Materials Corp,553368AA9,MPUS,89.575,0.25,01/04/2026,22.5861,44.27501871,57.4975859
Corporates,Snap Inc,83304AAH9,SNAP,78.992,0.125,01/03/2028,17.7494,56.33993262,54.45428739
Corporates,JPMorgan Chase Financial Co LLC,BW0746295,JPM,111.339,0.0,29/04/2025,4981.2449,20.07530286,18.45265702
Corporates,Etsy Inc,29786AAN6,ETSY,80.307,0.25,15/06/2028,4.0518,246.8038896,44.89083173
Corporates,Live Nation Entertainment Inc,538034AZ2,LYV,114.729,3.125,15/01/2029,9.2259,108.3905093,32.34725729
Corporates,American Water Capital Corp,03040WBB0,AWK,100.171,3.625,15/06/2026,5.8213,171.7829351,17.3833257
Corporates,Cheesecake Factory Inc/The,163072AA9,CAKE,87.073,0.375,15/06/2026,13.3775,74.75238273,36.71700729
Corporates,Box Inc,10316TAB0,BOX,112.09,0.0,15/01/2026,38.7961998,25.77572044,30.50435174
Preferreds,Apollo Global Management Inc,03769M304,APO,56.61,6.75,31/07/2026,0.5052,98.97070467,29.52853687
Corporates,Southern Co/The,842587DN4,SO,100.26,3.875,15/12/2025,11.8818,84.16233231,16.92276487
Corporates,BioMarin Pharmaceutical Inc,09061GAK7,BMRN,103.5,1.25,15/05/2027,7.2743,137.4702721,25.47153405
Corporates,Cable One Inc,12685JAG0,CABO,76.203,1.125,15/03/2028,0.4394,2275.830678,37.15878626
Corporates,Teladoc Health Inc,87918AAF2,TDOC,82.35,1.25,01/06/2027,4.1258,242.3772359,62.77773626
Corporates,RealReal Inc/The,88339PAD3,REAL,34.8,1.0,01/03/2028,31.4465,31.80004134,109.0886292
Corporates,RealReal Inc/The,88339PAB7,REAL,74.458,3.0,15/06/2025,56.2635,17.77351213,105.4806626
Corporates,Verint Systems Inc,92343XAC4,VRNT,88.781,0.25,15/04/2026,16.1092,62.07632905,44.83506191
Corporates,CorEnergy Infrastructure Trust Inc,21870UAC0,CORR,60.647,5.875,15/08/2025,20.0,50.0,128.8672993
Corporates,Five9 Inc,338307AD3,FIVN,96.856,0.5,01/06/2025,7.4437,134.3417924,36.40190218
Corporates,Omeros Corp,682143AG7,OMER,61.228,5.25,15/02/2026,54.0906,18.4875006,114.5639076
Corporates,Liberty Media Corp-Liberty Formula One,531229AQ5,FWONK,101.171,2.25,15/08/2027,12.0505,82.98410854,32.67834913
Preferreds,AMG Capital Trust II,00170F209,AMG,48.75,5.15,15/10/2037,0.255800009,195.4652005,23.58545967
Corporates,Omnicell Inc,68213NAD1,OMCL,92.006,0.25,15/09/2025,10.2751,97.32265379,61.87022867
Corporates,PennyMac Corp,70932AAD5,PMT,98.7,5.5,01/11/2024,40.101,24.93703399,24.89168212
Corporates,Exact Sciences Corp,30063PAC9,EXAS,94.988,0.375,01/03/2028,8.2076,121.8382962,45.38177137
Corporates,JPMorgan Chase Bank NA,BP9257679,JPM,102.732,0.0,10/06/2024,128.452251,778.4993974,24.71403831
